12.473	12.816	12.474	12.816	12.479	12.822	12.144	10.766	11.798	11.459	12.835	12.831	12.152	12.493	12.154	12.495	12.496	11.117	12.192	12.873	11.505	11.842	12.193	12.195	11.507	11.849	10.821	11.156	10.467	11.847	11.152	11.152	12.532	12.193	11.153	11.844	11.505	11.869	12.561	11.527	11.529	12.561	12.221	12.562	12.223	11.183	10.807	12.527	11.498	11.492
12.664	12.66	11.973	12.316	12.668	12.321	12.673	11.985	11.297	11.988	11.968	12.309	12.661	12.662	13.002	12.313	12.314	11.659	12.341	12.337	11.659	11.66	13.032	13.384	12.006	12.008	10.979	11.995	12.337	12.332	12.332	12.682	12.682	12.333	11.653	11.304	11.308	11.659	11.996	12.337	12.339	11.662	10.973	12.344	11.664	12.028	11.338	10.992	12.363	10.993
12.152	12.493	13.525	12.847	11.81	12.852	12.164	11.819	13.201	12.857	13.199	12.86	13.201	13.202	12.863	11.144	12.168	11.82	12.506	12.508	12.859	12.171	12.173	12.175	12.516	11.828	11.503	12.19	12.532	13.224	12.534	13.563	11.844	13.224	12.195	11.499	11.494	12.186	11.497	12.529	12.881	12.534	10.816	11.507	11.15	11.49	11.824	11.484	11.485	12.175
12.803	11.424	11.775	12.467	12.119	11.784	12.121	13.503	13.845	13.506	13.158	12.819	11.79	11.441	12.155	13.531	13.182	13.874	13.185	13.187	12.508	11.82	11.822	10.776	12.498	11.805	12.497	12.499	12.501	13.182	11.813	10.782	11.815	11.816	11.462	12.843	12.154	12.505	11.817	11.469	11.821	10.806	10.809	11.835	12.175	12.174	12.864	11.484	11.485	11.146
13.997	12.958	12.619	13.31	13.312	12.284	12.966	11.598	11.242	13.649	13.31	13.651	14.003	12.964	12.625	11.596	11.247	11.241	13.307	12.619	12.961	12.622	12.624	12.626	11.938	11.25	12.654	12.316	11.622	12.654	11.965	12.315	12.655	11.966	10.597	9.9005	11.617	12.988	12.99	12.652	12.654	11.966	10.938	10.599	11.303	11.653	12.678	10.268	11.649	12.339
13.696	13.357	13.358	11.979	11.64	11.292	11.976	12.323	13.355	12.666	12.667	13.359	11.29	12.332	11.315	12.351	12.692	13.383	12.694	13.386	12.007	12.009	12.011	12.355	11.667	12.359	12.356	12.358	13.389	12.01	12.701	11.322	11.322	11.326	12.362	13.043	12.704	13.046	13.048	11.68	11.682	10.653	12.398	12.049	12.045	12.736	12.736	11.357	11.017	11.358
12.71	13.051	13.742	13.393	13.394	12.365	13.057	12.369	12.72	10.98	13.041	13.043	13.384	13.385	13.386	13.047	12.358	11.341	11.677	12.028	13.06	12.372	12.723	12.725	12.727	11.689	12.734	12.045	12.732	13.073	12.734	13.075	12.385	12.046	12.047	11.358	11.713	12.4	11.711	12.063	12.755	13.097	12.068	11.719	11.721	12.095	12.091	11.741	12.092	12.093
12.225	11.909	12.245	12.246	14.317	13.287	12.599	13.291	12.942	12.254	13.295	12.965	12.967	12.278	12.969	12.969	12.28	12.97	12.281	11.585	12.616	12.263	12.955	12.957	12.959	12.271	11.933	12.274	12.275	11.596	12.966	11.936	11.937	12.968	12.629	12.28	12.632	11.254	12.279	12.275	12.277	12.629	13.32	11.942	12.633	11.604	10.915	11.256	11.257	11.936
13.893	12.854	12.175	12.509	12.845	14.226	12.847	12.849	12.85	11.822	12.853	12.515	11.819	11.816	13.196	13.537	12.508	12.508	13.198	12.508	11.48	11.822	11.843	11.845	12.197	12.538	12.88	11.511	12.542	11.163	11.854	11.51	11.854	12.884	12.545	13.237	12.209	11.521	11.863	11.864	11.535	12.226	12.908	12.569	10.5	12.231	12.232	12.233	11.194	12.239
12.318	11.629	13.009	12.67	11.631	12.321	12.672	11.983	14.045	12.676	12.327	11.988	11.293	13.014	12.67	11.981	12.321	13.352	11.632	12.322	12.323	12.325	11.671	12.023	11.67	12.712	11.333	10.644	12.026	11.676	11.677	11.341	11.333	12.027	11.678	11.34	12.032	12.034	12.726	10.657	11.689	11.351	12.371	12.032	12.033	11.344	12.376	11.347	11.347	11.348
